"Timestamp","NPS","NSAT","Version","Comments"
"12/10/2025, 8:34:55.674 AM","9","3.0","1.37.1",""
"12/10/2025, 8:18:28.455 AM","8","2.0","1.37.1","Add an option to delete database to the right click context menu. Make it as much of a SSMS as possible. "
"12/10/2025, 7:33:35.76 AM","8","2.0","1.37.1","The browser to browse files and <REDACTED: user-file-path> together so i dont have to find code and a view to execute in a different structure"
"12/10/2025, 5:52:54.414 AM","6","1.0","1.37.1"," notebook integration same as azure data studio sql agent managment"
"12/10/2025, 2:15:47.108 AM","8","2.0","1.37.1","Mostly is about the performance. Sometimes the intellisense is not working until the first query is triggered. Sometimes the Query results panel doesn't show up immediately until I scroll down."
"12/9/2025, 9:34:38.649 PM","5","2.0","1.37.1","It's slow and needs to be more feature complete when aligned to Azure Data Studio"
"12/9/2025, 7:04:19.432 PM","9","2.0","1.37.1",""
"12/9/2025, 6:48:16.814 PM","4","1.0","1.37.1","This was supposed to replace Azure Data Studio but it's still lacking on features that ADS had implemented."
"12/9/2025, 6:42:04.362 PM","10","3.0","1.37.1",""
"12/9/2025, 6:25:33.677 PM","9","3.0","1.37.1","Add the activity monitor from SQL server management, and add more ways to filter / search the database schemas.   Also, using the schema view there should be a way to search CTRL+F and identify columns instead of just table names"
"12/9/2025, 6:24:50.225 PM","6","2.0","1.37.1",""
"12/9/2025, 4:48:54.917 PM","10","3.0","1.37.1",""
"12/9/2025, 4:44:01.324 PM","0","0.0","1.37.0","reduce the amount of times I need to log-in "
"12/9/2025, 4:43:25.044 PM","9","2.0","1.37.1","Filtering table on column names should be implemented. I'd like to be able to search to see all tables with a given column name"
"12/9/2025, 2:48:50.379 PM","4","1.0","1.37.1","me gustaria que haya una opcion desde el script para poder acceder al script de la funcion o el stored procedure tambien poder ver la estructura de una tabla"
"12/9/2025, 2:19:08.964 PM","8","2.0","1.37.1","Permettere di eseguire solo parti di query evidenziandole come in M.SQL Server Management Aggiungere il completamento automatico e l'evidenziazione della sintassi della query"
"12/9/2025, 2:17:46.946 PM","5","1.0","1.37.1","SQL Server Agent with SSIS job support would help."
"12/9/2025, 1:59:06.314 PM","10","1.0","1.37.1","The query results view is buggy. I've had a few occasions where it didn't update with the query results, which was very confusing because it was showing results from previous query. Another time the results grids didn't play nice with my monitor resolution and were flickering between two different sizes. Crtl-c after selecting a grid cell doesn't always work. "
"12/9/2025, 1:30:38.761 PM","6","2.0","1.37.1","Not as polished as Azure Data Studio and some use cases are clunky trying to do it the Visual Studio Code way."
"12/9/2025, 1:12:16.019 PM","7","2.0","1.37.1","Добавить кнопку подключения к БД в открытой вкладке и выполнять sql-запрос по F5"
"12/9/2025, 1:10:22.255 PM","9","2.0","1.37.1",""
"12/9/2025, 12:47:39.477 PM","9","3.0","1.37.1",""
"12/9/2025, 12:19:48.693 PM","10","3.0","1.37.0",""
"12/9/2025, 12:05:09.327 PM","10","2.0","1.37.1",""
"12/9/2025, 10:31:23.654 AM","9","2.0","1.37.1","In Visual Studio Code, I'm never sure whether I'm going to open files in a new tab or whether the same tab will be used. Similarly, will the existing connection be used?"
"12/9/2025, 9:43:23.182 AM","8","2.0","1.37.1","Rendering of tabs and the actions buttons (run query) when you have lots of tabs open. Sometimes the connect button gets lost. I think I still see the odd issue with the query results pain losing focus when you have multiple queries open but this is much better now."
"12/9/2025, 8:13:24.801 AM","7","2.0","1.37.1","Hi,  1 - Running a query sometimes get stucked and you can't stop it but the timer counter is running. The only way to solve it is to close the vs code and open it again.  2 - It'd be great if you create a new tab with ctrl + n, it maintains the connection and file type. It happens properly when you open an existing file. It maintains de connection. 3 - Please enhance the formatter. It's very useful with large stored procedures that are not well tabulated but it usually format wrong some parts of it, taking an END clause to the beginnig of the line formatted, for example, when it shouldn't.  thanks for your work, you are doing well.  Regards. "
"12/9/2025, 7:37:29.877 AM","6","1.0","1.37.1","Edit table like in azure data "
"12/9/2025, 2:48:21.724 AM","6","1.0","1.37.1",""
"12/9/2025, 1:36:27.847 AM","10","3.0","1.37.1","All good, but you made query results to hard  to use in the last update. Specially when sorting and filtering results. I thought you removed that feature when I used it immediately after updating.  Add more AI features!"
"12/8/2025, 11:51:06.396 PM","5","2.0","1.37.1","There are too many things right now that I people can only use SSMS for. If trying to use this tool, people have to keep switching back and forth. It was only within in the last month that we got (I think in preview) the edit data option. This was not consistent with what developers were used to in any of the other tools, what was originally asked for, what was relayed back to the development team or meeting a lot of the basic requirements people have for this type of feature. I would like to see this get up to speed with being 'on par' with most of the basic features we use in SSMS daily  before adding 150 new AI features or new things from the ground up that might take 1-2 years. I would much rather that base features are there and on par with SSMS and then start going wild trying out new things, replacing things and making them better (after users get to try them). "
"12/8/2025, 8:30:47.371 PM","7","2.0","1.34.0","Add ability to edit and add rows through GUI"
"12/8/2025, 3:33:20.819 PM","10","2.0","1.37.1","An easy way to <REDACTED: user-file-path> the formatting would be helpful."
"12/8/2025, 3:06:02.793 PM","8","2.0","1.37.1","Looking for more cross-over from SSMS to get full functionality."
"12/8/2025, 3:02:37.595 PM","10","2.0","1.37.1",""
"12/8/2025, 2:49:18.288 PM","10","3.0","1.37.1","<REDACTED: secret>"
"12/8/2025, 1:40:25.056 PM","10","3.0","1.37.1","It would be nice if there were a combination of keystrokes that would allow me to connect to a SQL server as opposed to having to get my mouse involved. Small thing, but it would be a nice little luxury."
