"Timestamp","NPS","NSAT","Version","Comments"
"10/1/2025, 12:35:44.252 PM","10","2.0","1.36.0","Release mssql mcp server on npm :)  I am using version 0"
"10/1/2025, 12:13:42.778 PM","7","2.0","1.36.0","most times when you want to copy some data from the query results tab, it wont let you copy with ctrl+c, only by right clicling and clicking copy with the mouse"
"10/1/2025, 11:26:58.258 AM","6","1.0","1.36.0","Its not quite a replacement for Azure Data Studio yet and is sometimes frustrating to use.  I see far more login / reauthenticate popups than I do with ADS. Its also still missing some of the functionality / extensions that ADS had e.g. the right click options for Manage / Backup / Restore / Drop or the Admin Pack for SQL Server"
"10/1/2025, 10:39:36.331 AM","10","3.0","1.36.0",""
"10/1/2025, 9:49:00.215 AM","0","0.0","1.36.0","AUTHENTICATION ON MAC OS DOES NOT WORK IT ALWAYS PROMPTS ME TO RE-LOGIN. FIX THIS"
"10/1/2025, 9:15:06.074 AM","0","0.0","1.36.0","This sucks ass compared to azure data studio. For one, no more F5 to run a query. This is terrible. Make it be more like azure data studio. "
"10/1/2025, 7:03:28.806 AM","8","2.0","1.36.0","Missung Breakpoint Debugging like in Visual Studio"
"10/1/2025, 6:25:25.981 AM","6","1.0","1.36.0","Once I lost all my connection. We need to beable to back it up I am missing an edit mode like SSMS Ofcourse very happy with VS code as an editor"
"10/1/2025, 5:03:09.854 AM","10","3.0","1.36.0","default the run sql command to F5 like SSMS instead of whatever the default is that i had to change immediately because i kept accidentally running debug, hah.   also, sometimes large query plans can be laid out funky and overlap in the query plan GUI, making it hard to click on some parts of it and read some parts. "
"10/1/2025, 4:14:49.79 AM","0","0.0","1.36.0","I hate having my source code and query tool in one app.... VS Code is NOT visual studio... stop making it into a full blown IDE, we want separation of concerns."
"9/30/2025, 6:15:05.998 PM","3","1.0","1.36.0","Query Results needs improvement. Errors a lot. "
"9/30/2025, 5:43:08.103 PM","10","3.0","1.36.0","ok"
"9/30/2025, 3:19:24.716 PM","7","2.0","1.36.0","Tab Coloring, maybe a separate query results window becuase the current results window gets lost easily, ui is weird around selecting different databases while in a query a window.  Here's an idea, make an entire separate app and call it Azure Data Studio, that would be nice. "
"9/30/2025, 6:31:39.463 AM","6","2.0","1.36.0",""
"9/29/2025, 8:54:07.412 PM","6","2.0","1.36.0","Better UI for managing and organizing SQL Server Connections. Currently, modifying the settings file allows for more customization but is far more involved"
"9/29/2025, 8:30:07.405 PM","10","3.0","1.36.0",""
